"doc_id","filepath","topo_x","topo_y","topo_z"
"b58cea45","./config/INFO_LOOP_CRON.md","reference","general","active"
"49081381","./config/decision-permission-matrix.md","reference","xu_sir","active"
"fc9932fa","./config/VENDOR_API_PRIMARY_CONFIG.md","reference","general","active"
"93884ac4","./partner-match-system/OVERVIEW.md","reference","liu_honglei","active"
"fd9c1601","./partner-match-system/README.md","reference","luo_han","active"
"87e5f14a","./partner-match-system/DELIVERY.md","reference","luo_han","active"
"8761c3ae","./partner-match-system/docs/API.md","reference","general","active"
"51ca2477","./partner-match-system/docs/USER_MANUAL.md","reference","general","active"
"5b1c1cbe","./Working_五路图腾.md","reference","liu_honglei","active"
"d2b8866b","./data/failure_cases/FAIL-2026-03-15-001_蓝军意见任务阻塞.md","reference","xu_sir","active"
"37cb38c4","./data/failure_cases/FAIL-2026-03-15-002_急躁转向首单建议.md","reference","xu_sir","active"
"66fcfd45","./product2-partner-matching/iteration-3-intervention-system.md","reference","xie_baojian","active"
"6a0d0c1c","./product2-partner-matching/iteration-2-prediction-models.md","reference","fang_yifeng","active"
"c0a7b9b9","./product2-partner-matching/PFI-2.0-Ultimate-Handbook.md","reference","xu_sir","active"
"893b7517","./product2-partner-matching/iteration-4-scale-delivery.md","reference","general","active"
"629e1ca4","./product2-partner-matching/iteration-5-data-asset.md","reference","xie_baojian","active"
"dfa59af7","./product2-partner-matching/iteration-1-deep-assessment.md","reference","fang_yifeng","active"
"9b062458","./BOOTSTRAP.md","reference","xu_sir","active"
"63769c2a","./feishu-personas/01_满意哥_主控AI.md","reference","xie_baojian","active"
"8bcc9606","./feishu-personas/14_CONTENT_内容总监.md","reference","general","active"
"16ba7047","./feishu-personas/T04_CONFUCIUS_孔子.md","reference","liu_honglei","active"
"f8c4ec99","./feishu-personas/T01_LIU_刘禹锡.md","reference","liu_honglei","active"
"198d5d40","./feishu-personas/13_ANNOUNCE_官宣官.md","reference","xu_sir","active"
"aa80189b","./feishu-personas/组织架构图_SVG代码.md","reference","xu_sir","active"
"419130d3","./feishu-personas/项目_官宣执行手册.md","reference","fang_yifeng","active"
"27de2713","./feishu-personas/00_指挥官_Egbertie.md","reference","liu_honglei","active"
"de842ec2","./feishu-personas/T02_SIMON_西蒙.md","reference","luo_han","active"
"ccfecd96","./HEARTBEAT.md","reference","xu_sir","active"
"f7904b9e","./memory/TASK_BOARD_20260320.md","reference","general","active"
"1c0e277d","./memory/2026-03-13_小时协调检查报告_1624.md","reference","liu_honglei","active"
"431d19ce","./memory/2026-03-13.md","reference","general","active"
"2fd67451","./memory/2026-03-25.md","reference","general","active"
"cf7a64c9","./memory/learning-cards/2026-03-20-link-24-placeholder.md","reference","general","active"
"53f341db","./memory/learning-cards/2026-03-20-link-20-placeholder.md","reference","general","active"
"6674ed94","./memory/learning-cards/2026-03-20-link-14-placeholder.md","reference","general","active"
"54d5d157","./memory/learning-cards/2026-03-20-link-08-brave.md","reference","general","active"
"1a396712","./memory/learning-cards/2026-03-20-link-12-chroma.md","reference","general","active"
"bcb36836","./memory/learning-cards/2026-03-20-link-29-placeholder.md","reference","general","active"
"54696b5f","./memory/learning-cards/2026-03-20-link-25-placeholder.md","reference","general","active"
"2d5102cd","./memory/learning-cards/2026-03-20-link-23-placeholder.md","reference","general","active"
"1d0d65ae","./memory/learning-cards/2026-03-20-link-10-notion.md","reference","general","active"
"f22c53cf","./memory/learning-cards/2026-03-20-link-22-placeholder.md","reference","general","active"
"659ded3e","./memory/learning-cards/2026-03-20-link-16-placeholder.md","reference","general","active"
"f33bdd86","./memory/learning-cards/2026-03-20-link-11-ollama.md","reference","general","active"
"982a16c2","./memory/learning-cards/2026-03-20-link-15-placeholder.md","reference","general","active"
"80419fe5","./memory/learning-cards/2026-03-20-link-01-deepseek.md","reference","general","active"
"92eca47e","./memory/learning-cards/2026-03-20-link-18-placeholder.md","reference","general","active"
"1ace0fcb","./memory/learning-cards/2026-03-20-link-30-placeholder.md","reference","general","active"
"741fcbd4","./memory/learning-cards/2026-03-20-link-27-placeholder.md","reference","general","active"
"74be8dfa","./memory/learning-cards/2026-03-20-link-13-langchain.md","reference","xu_sir","active"
"2bb81564","./memory/learning-cards/2026-03-20-link-17-placeholder.md","reference","general","active"
"b64242a3","./memory/learning-cards/2026-03-20-link-02-openmaic.md","reference","xu_sir","active"
"ce35094e","./memory/learning-cards/2026-03-20-link-03-typeui.md","reference","xu_sir","active"
"4981e705","./memory/learning-cards/2026-03-20-link-21-placeholder.md","reference","general","active"
"ead822f9","./memory/learning-cards/2026-03-20-link-06-firecrawl.md","reference","general","active"
"b7a00575","./memory/learning-cards/2026-03-20-link-05-mineru.md","reference","general","active"
"1d52073e","./memory/learning-cards/2026-03-20-link-07-tavily.md","reference","xu_sir","active"
"1ee20830","./memory/learning-cards/2026-03-20-link-04-kimicli.md","reference","general","active"
"f9eea59c","./memory/learning-cards/2026-03-20-link-26-placeholder.md","reference","general","active"
"586f75de","./memory/learning-cards/2026-03-20-link-19-placeholder.md","reference","general","active"
"e7482fc4","./memory/learning-cards/2026-03-20-link-28-placeholder.md","reference","general","active"
"44b60595","./memory/learning-cards/2026-03-20-link-09-reactemail.md","reference","general","active"
"1c390185","./memory/satisfynow-system-map.md","reference","general","active"
"ef54fd34","./memory/2026-03-21-decisions.md","reference","xu_sir","active"
"f13fb49b","./memory/2026-03-16.md","reference","xu_sir","active"
"2cbda9c2","./memory/info-collection/2026-03-16_06-00_hourly.md","reference","general","active"
"f45ad758","./memory/2026-03-09-回顾清单.md","reference","liu_honglei","active"
"507db170","./memory/lost-promises-5standard-report-2026-03-20.md","reference","general","active"
"549a77e1","./memory/2026-03-14-WIP-004补救报告.md","reference","liu_honglei","evolving"
"8cb36ed5","./memory/BLUE_TEAM_REPORT_RECEIVED.md","reference","general","active"
"6bb62663","./memory/2026-03-14-专家邀请函待确认稿.md","reference","liu_honglei","active"
"363618ef","./memory/2026-03-27.md","reference","general","active"
"be496216","./memory/2026-03-16_小时协调检查报告_1924.md","reference","xu_sir","active"
"22a8fd65","./memory/2026-03-26.md","reference","general","active"
"cec651ba","./memory/第一性原则强制执行验证报告_2026-03-15.md","reference","liu_honglei","active"
"adc32b4f","./memory/2026-03-13-过期任务补救报告.md","reference","general","active"
"23c071e1","./memory/history-audit/blue-army-final-audit-2026-03-27.md","reference","general","active"
"de7c2058","./memory/history-audit/kimi_link_01_record.md","reference","general","active"
"a191f6a5","./memory/history-audit/OTHER_LINKS_CHECK_PLAN.md","reference","general","active"
"f9995a1e","./memory/history-audit/LOST_PROMISES_REGISTRY_UPDATED.md","reference","general","active"
"c3fbdca7","./memory/history-audit/link_check_progress.md","reference","general","active"
"f05ba64f","./memory/history-audit/link-selfcheck-report.md","reference","general","active"
"a3a446fd","./memory/history-audit/honesty-redline-selfcheck.md","reference","general","active"
"d2333757","./memory/history-audit/kimi_link_03_record.md","reference","xie_baojian","active"
"5edb2a00","./memory/history-audit/CONFIRMED_EXECUTION_PLAN.md","reference","general","active"
"5e4127aa","./memory/history-audit/kimi_link_02_record.md","reference","xie_baojian","active"
"d4f07439","./memory/history-audit/kimi_link_05_record.md","reference","general","active"
"ee762594","./memory/history-audit/kimi_link_04_record.md","reference","general","active"
"91969e5a","./memory/history-audit/LINK_AUDIT_REPORT.md","reference","general","active"
"6f31cdd0","./memory/history-audit/AUDIT_EXECUTION_PLAN.md","reference","general","active"
"aca69ca0","./memory/history-audit/blue-army-deep-audit-2026-03-27.md","reference","general","active"
"88a8f676","./memory/skill-installation-status.md","methodology","general","active"
"38c54f49","./memory/2026-03-21-evening.md","reference","fang_yifeng","active"
"c2dda322","./memory/2026-03-14_小时协调检查报告_1124.md","reference","xu_sir","active"
"c679e72f","./memory/reminder-audit-report-2026-03-15.md","reference","general","active"
"57951104","./memory/quality/cross-validation/20260320-144753.md","reference","general","active"
"8a0121ca","./memory/improvement-report-2026-03-15.md","reference","xu_sir","active"
"e7d48b0c","./memory/task-coordination-2026-03-13-2046.md","reference","general","active"
"85bcb38e","./memory/2026-03-20-phase3-completion.md","reference","xie_baojian","active"
"a9804879","./memory/2026-03-17.md","reference","general","active"
"82e71a6c","./memory/clawhub-install-retry-report-2026-03-13.md","reference","general","active"
"3127c995","./memory/experts/chen_guoxiang_profile_v1.md","reference","chen_guoxiang","active"
"8085515d","./memory/experts/fang_yifeng_profile_v1.md","reference","fang_yifeng","active"
"33022755","./memory/experts/_build_report_v1.md","reference","xu_sir","active"
"36a3abfc","./memory/experts/fang_yifeng_profile_v2.md","reference","fang_yifeng","active"
"1083faf0","./memory/improvements/ERR-202603-0001.md","reference","general","active"
"b0c5ab3c","./memory/task-coordination-2026-03-13-2146.md","reference","general","active"
"2d62a3f8","./memory/pending-confirmation-queue.md","reference","xu_sir","active"
"663c871c","./memory/methodology/file-update-workflow.md","reference","general","active"
"f9501a4f","./memory/methodology/align-complement-framework.md","reference","luo_han","active"
"d32537ba","./memory/2026-03-14_小时协调检查报告_2024.md","reference","xu_sir","active"
"443e0b1e","./memory/TASK_SCAN_REPORT_2026-03-10.md","reference","liu_honglei","active"
"5b6e76c1","./memory/industry_news/2026-03-21_资讯摘要.md","reference","xu_sir","active"
"789a278b","./memory/HIBERNATION_STATUS.md","reference","general","active"
"ab1e0283","./memory/2026-03-20.md","reference","general","active"
"b4470fea","./memory/SYSTEM_FIX_EXECUTION_20260321.md","reference","xu_sir","active"
"7d5ae5b4","./memory/2026-03-13_小时协调检查报告_2224.md","reference","xu_sir","active"
"c3407faa","./memory/2026-03-13_小时协调检查报告_1724.md","reference","xu_sir","active"
"a8bf5658","./memory/2026-03-15-GAME产品化交付.md","reference","luo_han","active"
"dd5f07b6","./memory/2026-03-14_小时协调检查报告_0124.md","reference","xu_sir","active"
"b937900b","./memory/lost-promise-user-reservation-2026-03-20.md","reference","general","active"
"29cb0f92","./memory/audit_report_20260315.md","reference","general","active"
"53ecdccb","./memory/2026-03-14_小时协调检查报告_2124.md","reference","xu_sir","active"
"d18979a7","./memory/satisfynow-growth-diary.md","reference","xu_sir","active"
"3889c37a","./memory/2026-03-14_小时协调检查报告_0924.md","reference","xu_sir","active"
"410692fd","./memory/hourly_coordination_2026-03-15_1124.md","reference","general","active"
"46491488","./memory/RECOVERY_PACKAGE_V1/2026-03-13.md","reference","general","active"
"ebcbfda1","./memory/RECOVERY_PACKAGE_V1/URG-001-完成报告.md","reference","xu_sir","active"
"b3875959","./memory/RECOVERY_PACKAGE_V1/README.md","reference","xu_sir","active"
"7369a95b","./memory/RECOVERY_PACKAGE_V1/USER.md","reference","general","active"
"c34a0599","./memory/RECOVERY_PACKAGE_V1/DISASTER_RECOVERY_V1.md","reference","xu_sir","active"
"7207ea92","./memory/RECOVERY_PACKAGE_V1/MEMORY.md","reference","xu_sir","active"
"85af1c3f","./memory/RECOVERY_PACKAGE_V1/SOUL.md","reference","xu_sir","active"
"844ac70e","./memory/RECOVERY_PACKAGE_V1/IDENTITY.md","reference","xu_sir","active"
"aa7530ea","./memory/comprehensive-lost-promises-audit-2026-03-20.md","reference","xu_sir","active"
"e8c95206","./memory/working/egbertie-today-tasks-5.md","reference","fang_yifeng","active"
"2e9493f1","./memory/working/brand_narrative_voice_memo_123.md","reference","xie_baojian","active"
"15c69037","./memory/working/daily_mode_optimization_v2.md","reference","general","active"
"2028439c","./memory/working/v1.3_final_decisions.md","reference","xu_sir","active"
"938dc643","./memory/working/cron_optimization_C_deployed.md","reference","general","active"
"be3c58bd","./memory/working/token_optimization_strategy.md","reference","general","active"
"5c002e51","./memory/working/hibernation_mode_optimization_v2.md","reference","general","active"
"cc6d81ba","./memory/working/v1.3_upgrade_completion_report.md","reference","xu_sir","active"
"ea4434d9","./memory/working/current_context.md","reference","general","active"
"e11256d9","./memory/working/v1.3_parallel_phrases_report.md","reference","luo_han","active"
"66ed55c2","./memory/working/user_decisions_2026-03-24.md","reference","xu_sir","active"
"5404c272","./memory/working/voice_memo_insights.md","reference","xu_sir","active"
"2a04d383","./memory/working/superpowers_security_audit.md","reference","general","active"
"468d73a1","./memory/working/resource-execution-handbook.md","reference","xu_sir","active"
"83b3734a","./memory/working/academic_deep_research_architecture.md","reference","xu_sir","active"
"901980e9","./memory/working/multi_platform_publish_guide.md","reference","xu_sir","active"
"29a34e03","./memory/working/content_unification_decision_list.md","reference","liu_honglei","active"
