"doc_id","filepath","topo_x","topo_y","topo_z"
"5edb71a2","docs/digital_twins/SIMON_quick_ref.md","reference","xu_sir","active"
"b11e641c","docs/digital_twins/LIU_V1.0.md","reference","general","active"
"9fa1242a","docs/digital_twins/GUANYIN_V1.0.md","reference","xie_baojian","active"
"93a1d9e0","docs/digital_twins/司马贺_深度研究报告_V2.0.md","reference","xu_sir","active"
"46966c22","docs/digital_twins/GUANYIN_dialogue_lib.md","reference","general","active"
"9fee0bc7","docs/digital_twins/SIMON_dialogue_lib.md","reference","general","active"
"e9a40726","docs/digital_twins/SIMON_V1.0.md","reference","xu_sir","active"
"3351a9bf","docs/digital_twins/LIU_quick_ref.md","reference","xie_baojian","active"
"f3a80ffb","docs/digital_twins/GUANYIN_quick_ref.md","reference","general","active"
"26dc5cfa","docs/digital_twins/LIU_dialogue_lib.md","reference","general","active"
"38c9eabc","docs/TODAY_COMPLETION_REPORT.md","reference","general","active"
"bf6ef217","docs/HIBERNATION_VULNERABILITY_FIX.md","reference","general","active"
"86843831","docs/FINAL_CLEANUP_REPORT.md","reference","general","active"
"c7b01ca4","docs/systems/GAME里程碑调整-V1.1.md","reference","xie_baojian","active"
"af46f092","docs/systems/并行协同管理机制-满意解速度版.md","reference","general","active"
"d7cb52d7","docs/systems/并行协同机制-组织常态版.md","reference","xu_sir","active"
"70b9b27a","docs/systems/定时任务诊断报告.md","reference","xu_sir","active"
"3c740eaa","docs/systems/管理罗盘实现方案.md","reference","xie_baojian","active"
"b1b7f79c","docs/systems/工作准则V2.0.md","reference","xu_sir","active"
"d365d6b4","docs/systems/全天候高效工作体系.md","reference","xu_sir","active"
"489267f4","docs/systems/员工犯错防控机制-严格风控版.md","reference","xu_sir","active"
"a92fcd9b","docs/systems/执行摘要_TRL-PFI参数调优.md","reference","general","active"
"319b43b7","docs/systems/第一性原理升级方案_完成总结.md","reference","general","active"
"d39bb3ba","docs/systems/PROD与GAME分工协作方案.md","reference","xu_sir","active"
"19d8818f","docs/PENDING_INSTRUCTIONS_REPORT.md","reference","xu_sir","active"
"5daf5134","docs/TOKEN-OPTIMIZATION-v1.0-FIN-260322.md","reference","general","active"
